"Trait","Method","Mean_DIC","SD_DIC","Delta_DIC","Wprob","ER","N","r","p_value","RMSE","MAE","Bias","Slope","Mean_fold_r","SD_fold_r","Mean_fold_RMSE","SD_fold_RMSE","Mean_fold_MAE","SD_fold_MAE","Selected_method","Is_selected"
"CF","BayesC",556.615262229245,8.49691055355294,0.372629401806535,0.182234200396954,1.20480135279812,150,0.396655662601033,5.03231630198341e-07,2.4662034603123,1.97030772784442,0.0202034593784473,0.741178967422227,0.416057684986292,0.118494706812711,2.44964911585749,0.318941054183539,1.97030772784442,0.287537973534223,"BayesB",FALSE
"CF","BL",556.242632827438,8.86317894314484,0,0.219556011164334,1,150,0.38937006837615,8.45065697798667e-07,2.48475106970244,1.98660688605888,0.015538165183983,0.705194617135897,0.409470035580925,0.113101644404023,2.46841895024643,0.317993247671538,1.98660688605888,0.299797108194083,"BayesB",FALSE
"CF","GBLUP",557.561283119024,9.22329920206747,1.31865029158541,0.113554424194757,1.93348707213533,150,0.388928005834308,8.71720516302714e-07,2.46934289263359,1.97659891370614,0.00379486593764433,0.758306235494041,0.402502010829593,0.119176760780884,2.45248126799291,0.322082969791822,1.97659891370614,0.275903904625778,"BayesB",FALSE
"DF","RRBLUP",348.385655504876,9.29230729594817,0.351150645379505,0.163967248547107,1.19193176477665,150,0.321438537802722,6.05033170346758e-05,1.06915545927162,0.83925955025071,-0.00247531291727939,0.613522508557613,0.351720241702464,0.160406173742056,1.06006143045169,0.155576186155769,0.83925955025071,0.111185164484299,"BL",FALSE
"DF","BayesA",349.08861952241,9.23823396135159,1.05411466291361,0.115374654141986,1.69394026252776,150,0.318981077891249,6.93626577194145e-05,1.06931410601712,0.838452325412475,-0.00367407039107443,0.615525476591314,0.350787088764034,0.178375722651495,1.06023797329443,0.155435265109429,0.838452325412475,0.112750656636964,"BL",FALSE
"DF","BayesB",349.38734957107,9.19971344115578,1.35284471157411,0.0993669606718464,1.96682851729507,150,0.324019768500856,5.23467984499825e-05,1.06698193653947,0.834361147189926,-0.00576394768381104,0.621816057145577,0.35560187028983,0.181174730496201,1.05813290723071,0.153318310782715,0.834361147189926,0.113580727828076,"BL",FALSE
"DF","BayesB2",349.080745031587,9.23589378346211,1.04624017209028,0.115829807907688,1.68728391643438,150,0.318436319695186,7.14845318197082e-05,1.06972831337379,0.838746062553469,-0.00364775384411478,0.613993418636639,0.350108868856289,0.178532002890353,1.06064439257178,0.155531897610957,0.838746062553469,0.112711958931584,"BL",FALSE
"DF","BayesC",348.5693444519,9.25453719981236,0.534839592404126,0.149578633387093,1.30658883224687,150,0.32578776906046,4.73680662110478e-05,1.06619198761528,0.835429171920986,-0.00527760718040293,0.623789151592116,0.356911964248823,0.169335411893232,1.05726754222479,0.153910276675157,0.835429171920986,0.11291545013923,"BL",FALSE
"DF","BL",348.034504859496,9.32239029622125,0,0.195437771926325,1,150,0.326679560823996,4.50287889952416e-05,1.06880037707314,0.837885020737988,-0.00262923290765263,0.609590033295138,0.355166691692143,0.150605690732932,1.05985496389323,0.154279379465375,0.837885020737988,0.108877689004115,"BL",TRUE
"DF","GBLUP",348.429087457867,9.09531680128944,0.394582598370675,0.160444923417955,1.2180988202239,150,0.315679235627794,8.31877681363524e-05,1.06784221455916,0.8434392296331,-0.0026781377118977,0.627797655826859,0.350748729012348,0.186688123005919,1.05891742856463,0.154032767117437,0.8434392296331,0.114513851156266,"BL",FALSE
"DCI","RRBLUP",292.916108618908,8.39575978659624,1.02964277021056,0.133186463104349,1.67333959172842,150,0.199767113350671,0.0142488779098507,0.813931911314869,0.638037176966956,-0.00899874456070441,0.489911274847233,0.235759666775557,0.163599839721603,0.808841684489628,0.10161376437679,0.638037176966956,0.0565505257790287,"BL",FALSE
"DCI","BayesA",293.537685566812,8.36594643013382,1.65121971811476,0.0976082140907834,2.28327281541593,150,0.193202434654856,0.0178456322054166,0.813983490472115,0.641093594088945,-0.0071693846152989,0.488716342611405,0.231548195693864,0.166741413324259,0.808812813006464,0.102414331746945,0.641093594088945,0.0614642977616614,"BL",FALSE
"DCI","BayesB",292.805528604431,8.51367365041212,0.919062755733478,0.140757722434525,1.58333182677386,150,0.200672191902267,0.013806359221344,0.812090751330704,0.640188010121207,-0.00663541050916564,0.50353807407303,0.241250743101157,0.168869972212836,0.806612947639274,0.105279040515846,0.640188010121207,0.0640306886050922,"BL",FALSE
