"Trait","Rank","IND","FAM","Method","Selection_objective","Ranking_rule","Genomic_value","Selection_score","OOF_predictive_direction","OOF_nominal_signal","OOF_r","OOF_nominal_p_value","Selection_proportion","N_available","N_selected"
"PRODEF",12,"141","6","RRBLUP","decrease","minimize_genomic_value",-1.92688674175167,1.92688674175167,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",13,"138","6","RRBLUP","decrease","minimize_genomic_value",-1.86546242448738,1.86546242448738,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",14,"142","6","RRBLUP","decrease","minimize_genomic_value",-1.86163026233493,1.86163026233493,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",15,"47","3","RRBLUP","decrease","minimize_genomic_value",-1.71656190671222,1.71656190671222,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",16,"144B","6","RRBLUP","decrease","minimize_genomic_value",-1.70609430345508,1.70609430345508,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",17,"144","6","RRBLUP","decrease","minimize_genomic_value",-1.69417675472109,1.69417675472109,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",18,"121","4","RRBLUP","decrease","minimize_genomic_value",-1.5783924515877,1.5783924515877,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",19,"154","7","RRBLUP","decrease","minimize_genomic_value",-1.53375730178092,1.53375730178092,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",20,"152","7","RRBLUP","decrease","minimize_genomic_value",-1.40928553530031,1.40928553530031,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",21,"136","6","RRBLUP","decrease","minimize_genomic_value",-1.37541149266008,1.37541149266008,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",22,"44","3","RRBLUP","decrease","minimize_genomic_value",-1.30553188516173,1.30553188516173,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",23,"115","2","RRBLUP","decrease","minimize_genomic_value",-1.24652890649138,1.24652890649138,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",24,"48","3","RRBLUP","decrease","minimize_genomic_value",-1.20826288031567,1.20826288031567,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",25,"148","7","RRBLUP","decrease","minimize_genomic_value",-1.18449227692932,1.18449227692932,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",26,"137","6","RRBLUP","decrease","minimize_genomic_value",-1.14137260688483,1.14137260688483,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",27,"61","8","RRBLUP","decrease","minimize_genomic_value",-1.13751380133622,1.13751380133622,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",28,"155","7","RRBLUP","decrease","minimize_genomic_value",-1.05880972807119,1.05880972807119,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",29,"146","6","RRBLUP","decrease","minimize_genomic_value",-1.03405871618109,1.03405871618109,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"PRODEF",30,"119","4","RRBLUP","decrease","minimize_genomic_value",-1.0321998448326,1.0321998448326,"positive","positive_nominal_p_ge_0.05",0.0424336314366531,0.606141850490587,0.2,150,30
"CF",1,"65","8","RRBLUP","increase","maximize_genomic_value",2.18598826640109,2.18598826640109,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",2,"26","5","RRBLUP","increase","maximize_genomic_value",2.00443220266691,2.00443220266691,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",3,"93","10","RRBLUP","increase","maximize_genomic_value",1.86488478161607,1.86488478161607,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",4,"102","10","RRBLUP","increase","maximize_genomic_value",1.85760857094179,1.85760857094179,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",5,"127","4","RRBLUP","increase","maximize_genomic_value",1.65802936613745,1.65802936613745,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",6,"27","5","RRBLUP","increase","maximize_genomic_value",1.59449564503349,1.59449564503349,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",7,"134","6","RRBLUP","increase","maximize_genomic_value",1.43181390693538,1.43181390693538,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",8,"96","10","RRBLUP","increase","maximize_genomic_value",1.41250287979303,1.41250287979303,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",9,"13","1","RRBLUP","increase","maximize_genomic_value",1.40523355896566,1.40523355896566,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",10,"64","8","RRBLUP","increase","maximize_genomic_value",1.33275671529259,1.33275671529259,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",11,"58","8","RRBLUP","increase","maximize_genomic_value",1.20654017633831,1.20654017633831,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",12,"133","6","RRBLUP","increase","maximize_genomic_value",1.18071525522989,1.18071525522989,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",13,"21","5","RRBLUP","increase","maximize_genomic_value",1.15882385678286,1.15882385678286,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",14,"25","5","RRBLUP","increase","maximize_genomic_value",1.14912268575055,1.14912268575055,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",15,"99","10","RRBLUP","increase","maximize_genomic_value",1.14626288687605,1.14626288687605,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",16,"1","1","RRBLUP","increase","maximize_genomic_value",1.09592364888666,1.09592364888666,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",17,"14","1","RRBLUP","increase","maximize_genomic_value",1.0707100873388,1.0707100873388,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",18,"137","6","RRBLUP","increase","maximize_genomic_value",1.03816659175541,1.03816659175541,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",19,"23","5","RRBLUP","increase","maximize_genomic_value",1.00386963555254,1.00386963555254,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",20,"89","10","RRBLUP","increase","maximize_genomic_value",0.964259131268096,0.964259131268096,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",21,"62","8","RRBLUP","increase","maximize_genomic_value",0.962532257710293,0.962532257710293,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",22,"73","9","RRBLUP","increase","maximize_genomic_value",0.952513386301613,0.952513386301613,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",23,"90","10","RRBLUP","increase","maximize_genomic_value",0.949148409487832,0.949148409487832,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",24,"20","5","RRBLUP","increase","maximize_genomic_value",0.929275939205357,0.929275939205357,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",25,"123","4","RRBLUP","increase","maximize_genomic_value",0.925715710454029,0.925715710454029,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",26,"59","8","RRBLUP","increase","maximize_genomic_value",0.90470914490161,0.90470914490161,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",27,"69","8","RRBLUP","increase","maximize_genomic_value",0.88035494157849,0.88035494157849,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",28,"9","1","RRBLUP","increase","maximize_genomic_value",0.855515054995635,0.855515054995635,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",29,"2","1","RRBLUP","increase","maximize_genomic_value",0.853466067235683,0.853466067235683,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"CF",30,"98","10","RRBLUP","increase","maximize_genomic_value",0.783478037015606,0.783478037015606,"positive","positive_nominal_p_lt_0.05",0.386118789256704,1.06078014415759e-06,0.2,150,30
"DF",1,"13","1","BayesC","increase","maximize_genomic_value",0.981508360115159,0.981508360115159,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",2,"4","1","BayesC","increase","maximize_genomic_value",0.804285993413176,0.804285993413176,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",3,"102","10","BayesC","increase","maximize_genomic_value",0.680248738403835,0.680248738403835,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",4,"77","9","BayesC","increase","maximize_genomic_value",0.656984254455377,0.656984254455377,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",5,"57","8","BayesC","increase","maximize_genomic_value",0.652427694318443,0.652427694318443,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",6,"88","10","BayesC","increase","maximize_genomic_value",0.628302617598906,0.628302617598906,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",7,"27","5","BayesC","increase","maximize_genomic_value",0.596751176298303,0.596751176298303,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",8,"74","9","BayesC","increase","maximize_genomic_value",0.509949771750707,0.509949771750707,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",9,"9","1","BayesC","increase","maximize_genomic_value",0.481934531945363,0.481934531945363,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",10,"65","8","BayesC","increase","maximize_genomic_value",0.429722968223432,0.429722968223432,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",11,"1","1","BayesC","increase","maximize_genomic_value",0.420839956507823,0.420839956507823,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",12,"93","10","BayesC","increase","maximize_genomic_value",0.420615586547806,0.420615586547806,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",13,"58","8","BayesC","increase","maximize_genomic_value",0.420427097668368,0.420427097668368,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",14,"162","7","BayesC","increase","maximize_genomic_value",0.408965373870684,0.408965373870684,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",15,"86","9","BayesC","increase","maximize_genomic_value",0.360040828960306,0.360040828960306,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",16,"90","10","BayesC","increase","maximize_genomic_value",0.350630960838785,0.350630960838785,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",17,"99","10","BayesC","increase","maximize_genomic_value",0.345817530267891,0.345817530267891,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",18,"11","1","BayesC","increase","maximize_genomic_value",0.345273949013768,0.345273949013768,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",19,"87","9","BayesC","increase","maximize_genomic_value",0.319048343223915,0.319048343223915,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
"DF",20,"59","8","BayesC","increase","maximize_genomic_value",0.31413869367464,0.31413869367464,"positive","positive_nominal_p_lt_0.05",0.32578776906046,4.73680662110478e-05,0.2,150,30
